buyer_address,eth_price,usd_price,seller_address,event_date,token_id,transaction_hash,name
0x0000000000000000000000000000000000000000,82,356009.56,0xc3d6e933b2ced203bb1ae344d009849c686161f5,2021-11-24,1855,0x41807005c8adf20b442d057410b4380d350cdb2e0a129b9e2937c22447caed85,"CryptoPunk #1855"
0xc4d591c4a7240cfe01b91ea73d0a50627889d444,110,477573.8,0x5382859146010ac16e142b6708f8e178e77f66bc,2021-11-24,9696,0xf8663a290a84ac1e08df33c2d1d5ee8daf270bd026976380526b80906fdfdf92,"CryptoPunk #9696"
0x1593110441ab4c5f2c133f21b0743b2b43e297cb,99.88,433637.0104,0xaa14c41fd6cb09b84b8096e3dd52430816c14b63,2021-11-24,1139,0x76f6f49154b06d0543060b198f96c7cfd2097fd64a3766376ae5ee183b297b8a,"CryptoPunk #1139"
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,83,360351.14,0xd12e276f76a55af8558e149b5efeb6aa3a64ee84,2021-11-24,7877,0xd3d2eed7a233cda1bcebda6ada41324d2421e2e9519adab908b118466320371c,"CryptoPunk #7877"
0x07bc799b3b0ee99cb6129105b733d3bdad932a79,90,390742.2,0x6e92e190c2810631f2c22d6ae85d1fe2964d932c,2021-11-24,4974,0x786fe0828661889d4e2188d8fbafb8c860184d9e36f4c80b1ac169e3182a0755,"CryptoPunk #4974"
0x76d76080e5fd807ae15a002f2d44edb2909ae569,100,408917,0x1dabc3b1e6e6878fea60f9d9799b1cfdbb9d6aef,2021-11-23,8061,0x6f1106a2b54f5b28adb76b240e779fb7a7bc49ded654ad85f11f4b3bd4c8e469,"CryptoPunk #8061"
0x0000000000000000000000000000000000000000,120,490700.4,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,2021-11-23,8096,0xd1ea3f58f8406540b44a6e06568441abcea14b023069b7c1dba9c7ab414672a1,"CryptoPunk #8096"
0x0000000000000000000000000000000000000000,150,613375.5,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,2021-11-23,3263,0x97bd6f673031176d84273b4b0f3eaafc4f0316428fb48a43a8ed4188f83d55cb,"CryptoPunk #3263"
0x0000000000000000000000000000000000000000,107,437541.19,0xe2e58b5bec8f79c7a681c9efbec12b3ece7a76fd,2021-11-23,8116,0xb3ac2bb98988ff37142fd5061f63d97767c3c77f09f5458d0fe4a25ceda766ec,"CryptoPunk #8116"
0x0000000000000000000000000000000000000000,81,331222.77,0x43fb99c5bc88c9cfe4d67abdae0fb0a152899702,2021-11-23,2126,0x86421f8ddd682870238be2262078cf0329302d42fe162f37276679f68c8099f6,"CryptoPunk #2126"
0xb00b18b3bf6ecc43e6235ee69424d4a220437a4d,94.95,388266.6915,0x6639c089adfba8bb9968da643c6be208a70d6daa,2021-11-23,5558,0x431455feb7bc357e92e8c04e197cd097479eae2cf4ba9ca62f721bad88614e5b,"CryptoPunk #5558"
0x0000000000000000000000000000000000000000,87.5,357802.375,0x8546fb9357e18b40577e110de663f478b82e144d,2021-11-23,5558,0x2184b6c663d1944c55f1772f030151b764f9eef5e24591bc47af642a5d41efd3,"CryptoPunk #5558"
0x4236bab2703be67621856dfe6e768f0066a4c6c7,93.95,384177.5215,0x6639c089adfba8bb9968da643c6be208a70d6daa,2021-11-23,4453,0xbacafe1bd909ee234f96b5259cea144a5f334c6160a6f6ffb70ad8026aaffae5,"CryptoPunk #4453"
0x51eac3daa1c34f5c2874aa62097ac9965a180b6d,85,362358.4,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9,2021-11-22,2776,0xba88ce3d8482150caedc88933c32706406e9e275d2568c41b9c7c953c18e6132,"CryptoPunk #2776"
0x91338ccfb8c0adb7756034a82008531d7713009d,89.9,383247.296,0xcc7c335f3365ae3f7e4e8c9535dc92780a4add9d,2021-11-22,2065,0x6c59030ad0135603fbb135c1560980e76c4b9a2467fb2522c5bb8b9306047989,"CryptoPunk #2065"
0x0000000000000000000000000000000000000000,115.2,491102.208,0x6639c089adfba8bb9968da643c6be208a70d6daa,2021-11-22,6971,0x00882b800e40192cc2f49cda0cde5edbaaa4b6db90af8266ebb85e582409ecc8,"CryptoPunk #6971"
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,115,490249.6,0x492a3bc1b2a8d18bdae41c2e882e659959d6a5cc,2021-11-22,6502,0xd19cde1dddef0d6ca6c08ce7cba7e3bcf2c977e1dbd319e497eb8083104b8636,"CryptoPunk #6502"
